Degree,Users-Count,Users
0.0,33,10188712:11373722:122706390:1307120064:134182545:14092082:145541650:15040988:1689493657:1729936105:20842629:2213365112:2243829872:24112401:2611834718:304150259:3061898660:3094485998:318218531:32623294:328369614:353394176:357839393:3911719575:43831437:441428868:455003792:474948835:50750339:59084417:600584047:81170936:924854030
2.313,1,18662816
2.387,1,69436408
2.395,1,2596145105
2.787,1,779452
2.791,1,354464050
2.844,1,1364365273
2.995,1,1712831
3.111,1,4132841
3.164,1,159072934
3.217,1,736843656
3.372,1,24852465
3.456,1,521721536
3.688,1,19433169
3.736,1,114936799
3.793,1,42836999
3.798,1,2230417592
3.819,1,21189360
3.863,1,802751
3.899,1,16485564
3.901,1,189249484
3.966,1,505516379
4.026,1,20859801
4.211,1,212009144
4.285,1,24490456
4.569,1,26492874
4.683,1,75401545
4.713,1,417615653
4.715,1,33141453
4.77,1,17732485
4.815,1,125733443
4.859,1,43107557
4.871,1,262909861
4.93,1,75962440
5.086,1,1284314354
5.148,1,3140530768
5.169,1,89760824
5.201,2,140182966:18619979
5.23,1,3059859970
5.234,1,10326832
5.308,1,2869103344
5.41,1,3739172836
5.432,1,39330733
5.448,1,835377572
5.485,1,16446177
5.514,1,2992054909
5.54,1,3367805001
5.562,1,53085019
5.567,1,21948974
5.619,1,60550677
5.688,1,2156089227
5.689,1,2467551354
5.703,1,836279665
5.781,1,33394729
5.828,1,2305002626
5.842,1,21193650
5.882,1,295740548
5.917,1,2450894937
6.001,2,500849404:635604793
6.007,1,1059061369
6.04,1,68418583
6.055,1,3303531875
6.06,1,67323353
6.126,1,3374231
6.127,1,2236298000
6.211,1,28409997
6.289,1,2592160667
6.354,1,377326135
6.403,1,148872468
6.446,1,20870409
6.478,1,2492711598
6.491,1,531346364
6.5,1,107642576
6.593,1,19188399
6.598,1,14429563
6.622,1,61762271
6.696,1,366935179
6.705,1,70502952
6.841,1,817668451
6.987,1,756278
7.017,1,4338481
7.072,1,295610884
7.076,1,12692452
7.125,1,27096905
7.159,1,794329
7.166,1,375246970
7.174,1,588707774
7.184,1,1928909924
7.188,1,32939851
7.218,1,20002401
7.3,1,2549031829
7.307,1,108654496
7.329,1,1543121
7.353,1,16290599
7.363,1,1306312784
7.371,1,477802917
7.4,1,275799277
7.431,1,29406343
7.471,1,14538949
7.613,1,162069635
7.646,1,610533
7.647,1,309669413
7.656,1,174736204
7.68,1,166154241
7.705,1,91942557
7.709,1,135483288
7.75,1,248186795
7.783,1,15361570
7.784,1,424277262
7.8,1,31611298
7.804,1,76722822
7.821,1,3397145679
7.948,1,36790140
8.005,1,55687338
8.027,1,24149001
8.112,1,231756759
8.118,1,56864092
8.142,1,190674658
8.154,1,36571263
8.184,1,20963651
8.185,1,10064382
8.201,1,265099639
8.218,1,20319226
8.223,1,26598593
8.252,1,6527972
8.268,1,625378411
8.269,1,146409066
8.345,1,28753531
8.4,1,67761261
8.417,1,7954452
8.526,1,26493787
8.558,1,14689051
8.615,1,18655567
8.616,1,19318314
8.635,1,19961822
8.703,1,105533433
8.713,1,43532023
8.719,1,1855763186
8.739,1,86742779
8.742,1,245243839
8.755,1,14780493
8.777,1,953776388
8.801,1,293196728
8.817,1,19122675
8.837,1,35214545
8.875,1,238346334
8.939,1,47363263
8.972,1,15006743
9.011,1,2415918252
9.028,1,440993196
9.068,1,1969651069
9.075,1,217808673
9.154,1,9349172
9.18,1,47711346
9.19,1,38379055
9.211,1,901371
9.311,1,285509764
9.328,1,92720796
9.399,1,610555568
9.425,1,39357410
9.428,1,66388461
9.533,1,25382562
9.57,1,71512330
9.672,1,19739420
9.679,1,2871627629
9.703,1,184584860
9.725,1,607152697
9.736,1,36935647
9.738,1,21384302
9.76,1,398107992
9.802,1,983562338
9.803,1,14933304
9.819,1,145107843
9.831,1,57374779
9.833,1,14181505
9.909,1,28059115
9.992,1,1590754944
10.037,1,739293
10.084,1,353960403
10.12,1,15959875
10.13,1,21732506
10.174,1,61318104
10.253,1,581123710
10.315,1,1114681081
10.319,1,300645437
10.32,1,50780389
10.409,1,17078632
10.417,1,229433742
10.428,1,756227808
10.446,1,54412900
10.534,1,16579345
10.658,2,16388786:173857112
10.659,1,542666345
10.66,1,22657153
10.693,1,42587296
10.746,1,11791512
10.752,1,15077191
10.793,1,20035593
10.819,1,115748075
10.82,1,44949890
10.836,1,17298241
10.854,1,415750721
10.862,1,14131275
10.886,1,173734711
10.937,1,10724012
10.952,1,19017675
10.975,1,26149295
11.091,1,35309981
11.149,1,1009269193
11.237,1,12131132
11.263,1,81857654
11.269,1,92498317
11.281,1,10615232
11.291,1,17223098
11.323,1,115044590
11.352,1,524427375
11.417,1,30271564
11.503,1,106854950
11.507,1,32775800
11.559,1,14414286
11.573,1,7401202
11.635,1,1092979962
11.66,1,2293131060
11.718,1,47916280
11.753,1,1080509366
11.828,1,51219631
11.92,1,280500432
11.949,1,73992972
12.006,1,83649051
12.116,1,23566038
12.154,1,17399269
12.192,1,19418459
12.195,1,130122646
12.286,1,273176656
12.3,1,87318558
12.333,1,24167314
12.341,1,12199652
12.409,1,100866814
12.411,1,406935165
12.42,1,39710060
12.429,1,310172617
12.489,1,272760181
12.539,1,19977759
12.541,1,499781930
12.544,1,70831441
12.562,1,14150736
12.569,1,19225408
12.589,1,55964332
12.609,1,14666934
12.642,1,18166778
12.725,1,16395449
12.762,1,293154916
12.815,1,38592915
12.817,1,16493868
12.83,1,253500322
12.9,1,19700387
12.953,1,22012091
13.065,1,57304101
13.177,1,245849058
13.18,1,90484508
13.208,1,296338717
13.242,1,30183485
13.254,1,153810216
13.266,1,393436815
13.301,1,56783491
13.319,1,102652835
13.364,1,118779247
13.373,1,14546264
13.382,1,50768962
13.438,1,125270251
13.547,1,38281180
13.586,1,19739126
13.661,1,823083
13.672,1,1408142352
13.69,1,259215762
13.739,1,50875746
13.805,1,11666142
13.893,1,1370855934
13.934,1,220830660
13.965,1,189631331
14.012,1,418
14.139,1,19563366
14.144,1,932821405
14.189,1,19910414
14.235,1,545235190
14.275,1,84279963
14.326,1,53269717
14.383,1,22159580
14.415,1,49465463
14.482,1,3021340697
14.523,1,61228608
14.535,1,144884794
14.659,1,186202772
14.726,1,683113
15.073,1,19119809
15.135,1,2864117853
15.165,2,14561327:996994538
15.191,2,5668942:93131556
15.28,1,1059240924
15.307,1,2492917412
15.384,1,10194392
15.4,1,213745334
15.401,1,44177383
15.402,1,15958614
15.415,1,402938330
15.441,1,208996041
15.529,1,1417678880
15.557,2,112897001:384855296
15.578,1,1501471
15.584,1,15447522
15.618,1,614246029
15.691,1,1039631064
15.806,1,34940114
15.831,1,420512951
15.961,1,438301250
15.997,1,216881337
16.008,1,15649438
16.051,1,700217389
16.067,1,50811932
16.074,1,137418466
16.078,1,139092348
16.106,1,134054240
16.146,1,1714904610
16.172,1,7997312
16.175,1,139556944
16.201,1,11417802
16.228,1,35982046
16.408,1,44409004
16.457,1,6427882
16.639,1,158689157
16.826,1,60865434
16.858,1,27711339
16.932,1,6273552
16.988,1,19086859
17.0,1,20713061
17.081,1,18278629
17.148,1,188019606
17.153,1,214201922
17.326,1,15227791
17.381,1,19394188
17.386,1,65187067
17.475,1,217169219
17.494,1,1542453360
17.502,1,929211084
17.521,1,22790881
17.579,1,48008938
17.614,1,23440052
17.673,1,9534522
17.706,1,53853197
17.71,1,14417215
17.827,1,157718652
17.888,1,151123001
17.968,1,18973501
17.975,1,139808713
17.997,1,19248106
18.415,1,179036286
18.811,1,35031708
18.988,1,820585
19.075,1,106961801
19.141,1,3080761
19.241,1,17995040
19.262,1,18327902
19.279,1,175282603
19.284,1,467823431
19.311,1,7745472
19.363,1,23375688
19.373,1,2483000368
19.381,1,2956121356
19.538,1,32717570
19.643,1,94166168
19.699,1,202003
19.745,1,239411196
19.961,1,9729502
19.98,1,152785310
20.039,1,16409683
20.142,1,15828408
20.19,1,210792232
20.211,1,135180139
20.215,1,1769191
20.386,1,22959763
20.462,1,117777690
20.495,1,19968025
20.595,1,42610327
20.637,1,124335068
20.811,1,127765218
20.939,1,12901712
20.962,1,187890010
21.123,1,45022448
21.325,1,3496641
21.34,1,11113
21.484,1,652193
21.536,1,162124540
21.558,1,2354090707
21.614,1,45452226
21.672,1,158487331
21.835,1,326184301
21.896,1,168606635
21.923,1,23289019
21.962,1,185902260
21.977,1,153264772
22.07,1,45025729
22.16,1,215138502
22.346,1,22084427
22.401,1,16246929
22.5,1,15469101
22.501,1,63770845
22.61,1,100220864
22.903,1,34507480
22.924,1,15705567
22.957,1,2750127259
22.994,1,33836629
23.226,1,5252591
23.294,1,103065157
23.358,1,586
23.376,1,817288
23.537,1,92424604
23.694,1,3408650422
23.826,1,178088940
23.911,1,16939148
23.987,1,17444309
24.17,1,1060487274
24.176,1,106499398
24.292,1,328576792
24.348,1,462104542
24.475,1,84542880
24.511,1,10078
24.567,1,4405311267
25.273,1,35936474
25.309,1,36823
25.435,1,139876086
25.579,1,65375759
25.837,1,2507907734
25.89,1,2543588034
25.937,1,2529971
26.481,1,818238024
26.515,1,47786101
26.763,1,97893963
26.868,1,2384071
27.279,1,256360738
27.579,1,23151437
27.635,1,87118217
27.696,1,21982720
27.79,1,1209417007
28.147,1,20263710
28.22,1,75974281
28.267,1,611986351
28.272,1,68746721
28.421,1,14230524
28.789,1,216939636
28.973,1,2271025438
29.23,1,27042513
29.5,1,2353605901
29.68,1,187428929
30.137,1,171117515
30.184,1,2806267256
30.245,1,19040598
30.259,1,14130366
30.583,1,27260086
30.779,1,110520327
30.789,1,47285504
31.201,1,14123683
31.293,1,84351228
31.474,1,3351760203
31.518,1,3382415499
31.551,1,21447363
31.642,1,22938914
31.694,1,3105133073
31.932,1,3644811674
31.936,1,3038925132
32.157,1,26565946
32.199,1,2270593045
32.324,1,166739404
32.383,1,3220885052
32.832,2,274328258:833988769
33.065,1,5763262
33.21,1,133880286
33.472,1,104615636
33.549,1,2363543587
33.679,1,26589987
33.702,1,565919881
33.851,1,32453930
33.98,1,3131144855
34.12,1,805185025
34.281,1,2833268733
34.335,1,174972753
34.597,1,2498274386
34.623,1,74130577
34.824,1,1708443876
36.005,1,3333052551
36.039,1,963480595
36.249,1,52551600
36.629,1,547922610
36.66,1,160952087
36.848,1,2797521996
37.325,1,1112722104
37.575,1,258896042
37.61,1,23083404
38.482,1,532241033
38.987,1,48631266
40.012,1,254783152
40.177,1,79293791
40.473,1,20348377
42.084,1,216776631
42.161,1,4140881832
43.074,1,368448364
43.214,1,241654941
43.662,1,178463040
43.771,1,344183143
43.98,1,1130156892
45.402,1,515980805
45.966,1,412781038
47.171,1,15846407
47.804,1,1085665639
48.331,1,273557471
48.614,1,271292659
48.988,1,219247004
49.795,1,2244953047
51.092,1,204002663
51.537,1,2302937503
52.091,1,233386754
52.375,1,253340075
52.531,1,242567007
52.755,1,228299509
52.902,1,842089302
52.995,1,91798218
54.326,1,107512859
54.414,1,248883264
55.7,1,50393960
56.049,1,3980884039
56.89,1,350334760
57.379,1,263800151
58.475,1,830685463
58.751,1,481461757
59.637,1,325830217
59.787,1,317708215
60.411,1,343512172
60.713,1,243905905
60.979,1,2318252410
62.263,1,398092540
64.459,1,932446861
65.72,1,271690376
66.527,1,261598082
67.55,1,44196397
68.027,1,1143472657
68.604,1,4348237453
69.263,1,533202479
70.076,1,256781040
70.776,1,196235064
70.969,1,215957468
72.445,1,214413743
72.525,1,350224247
72.538,1,20571756
72.982,1,4274372981
76.273,1,277276900
77.988,1,873334429
80.767,1,802295798
83.883,1,4607065693
84.337,1,255747911
86.686,1,365822838
87.233,1,240664869
88.011,1,35348026
88.715,1,409089061
88.795,1,813286
93.811,1,399674608
94.259,1,305694283
98.128,1,47539748
98.267,1,443215941
100.184,1,176566242
101.641,1,1330457336
101.773,1,552121630
102.021,1,2401374210
102.252,1,223165982
102.402,1,2745557490
103.27,1,285332860
113.381,1,183310940
114.955,1,241382835
116.46,1,451649471
116.711,1,181561712
116.973,1,1339835893
121.719,1,250831586
123.019,1,213969309
124.184,1,344634424
129.203,1,492399548
130.768,1,2678072634
130.87,1,259925559
132.141,1,391037985
134.492,1,1337785291
136.756,1,2893511188
137.088,1,2563909904
138.288,1,2715115656
144.885,1,394581283
145.829,1,2352142008
146.131,1,507672047
149.178,1,288333760
152.477,1,2538115178
153.25,1,52939106
153.985,1,225539878
156.02,1,366592246
156.222,1,624056226
159.47,1,533085085
159.538,1,606211203
162.982,1,3327720838
165.674,1,543533194
172.279,1,2396677714
174.985,1,104249727
178.973,1,426738834
185.543,1,2240432905
192.247,1,512700138
207.296,1,224223563
207.354,1,2602158362
213.481,1,377723724
218.855,1,344801362
219.581,1,259725229
226.122,1,309133460
226.603,1,932429090
344.048,1,26090319
579.533,1,115485051
